adm1id,admname,category,catid,cmid,cmname,cmnameshort,country,currency,date,default,interpolated,label,mktid,mktname,price,ptid,scaling,sn,umid,unit,x,year
#adm1+code,#adm1+name,#item+type,#item+type+code,#item+code,#item+name,#item+name+short,#country+name,#currency,#date,,,#item+label,,#name+market,#value,,,#meta+id,,#item+unit,,0.0
2754.0,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,2016-04-15,,0.0,Beans (red) - Retail (KG),1384.0,Aweil (Town),42.5,15.0,1.0,1384_78_15_5,5.0,KG,1460678400.0,2016.0
2751.0,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,2016-05-15,,0.0,Beans (red) - Retail (KG),1386.0,Bor,45.5,15.0,1.0,1386_78_15_5,5.0,KG,1463270400.0,2016.0
2751.0,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,2016-06-15,,0.0,Beans (red) - Retail (KG),1386.0,Bor,60.0,15.0,1.0,1386_78_15_5,5.0,KG,1465948800.0,2016.0
2748.0,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,2016-07-15,,0.0,Beans (red) - Retail (KG),1388.0,Konyo Konyo,60.0,15.0,1.0,1388_78_15_5,5.0,KG,1468540800.0,2016.0
2746.0,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,2016-08-15,,0.0,Beans (red) - Retail (KG),2241.0,Mingkaman,68.0,15.0,1.0,2241_78_15_5,5.0,KG,1471219200.0,2016.0
2765.0,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,2016-09-15,,0.0,Beans (red) - Retail (KG),2240.0,Wunrok,92.5,15.0,1.0,2240_78_15_5,5.0,KG,1473897600.0,2016.0
2768.0,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,2016-10-15,,0.0,Beans (red) - Retail (KG),2239.0,Yambio,94.25,15.0,1.0,2239_78_15_5,5.0,KG,1476489600.0,2016.0
2750.0,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,2016-11-15,,0.0,Beans (red) - Retail (KG),1786.0,Torit,102.5,15.0,1.0,1786_78_15_5,5.0,KG,1479168000.0,2016.0
2750.0,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,2016-12-15,,0.0,Beans (red) - Retail (KG),1786.0,Torit,115.0,15.0,1.0,1786_78_15_5,5.0,KG,1481760000.0,2016.0
2765.0,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,2017-01-15,,0.0,Beans (red) - Retail (KG),2240.0,Wunrok,131.0,15.0,1.0,2240_78_15_5,5.0,KG,1484438400.0,2017.0
2766.0,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,2017-02-15,,0.0,Beans (red) - Retail (KG),1391.0,Jau,156.6,15.0,1.0,1391_78_15_5,5.0,KG,1487116800.0,2017.0
2765.0,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,2017-03-15,,0.0,Beans (red) - Retail (KG),2240.0,Wunrok,146.5,15.0,1.0,2240_78_15_5,5.0,KG,1489536000.0,2017.0
2754.0,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,2017-04-15,,0.0,Beans (red) - Retail (KG),1384.0,Aweil (Town),184.0,15.0,1.0,1384_78_15_5,5.0,KG,1492214400.0,2017.0
2754.0,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,2017-05-15,,0.0,Beans (red) - Retail (KG),1384.0,Aweil (Town),182.5,15.0,1.0,1384_78_15_5,5.0,KG,1494806400.0,2017.0
2748.0,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,2017-06-15,,0.0,Beans (red) - Retail (KG),1388.0,Konyo Konyo,251.0,15.0,1.0,1388_78_15_5,5.0,KG,1497484800.0,2017.0
2768.0,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,2017-07-15,,0.0,Beans (red) - Retail (KG),2239.0,Yambio,233.0,15.0,1.0,2239_78_15_5,5.0,KG,1500076800.0,2017.0
2746.0,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,2017-08-15,,0.0,Beans (red) - Retail (KG),2241.0,Mingkaman,250.0,15.0,1.0,2241_78_15_5,5.0,KG,1502755200.0,2017.0
